Age,Workclass,fnlwgt,Education,education-num,Marital-status,Marital-Status Index,Occupation,relationship,race,sex,captial gain,capital loss,hours per week,Native-country,Salary range,Salary
25, Private,289980, HS-grad,9, Never-married,1, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States, <=50K,46708
57, Federal-gov,337895, Bachelors,13, Married-civ-spouse,2, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K,128054
53, Private,144361, HS-grad,9, Married-civ-spouse,2, Machine-op-inspct, Husband, White, Male,0,0,38, United-States, <=50K,42957
44, Private,128354, Masters,14, Divorced,3, Exec-managerial, Unmarried, White, Female,0,0,40, United-States, <=50K,43528
41, State-gov,101603, Assoc-voc,11, Married-civ-spouse,2, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,41327
29, Private,271466, Assoc-voc,11, Never-married,1, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States, <=50K,31953
25, Private,32275, Some-college,10, Married-civ-spouse,2, Exec-managerial, Wife, Other, Female,0,0,40, United-States, <=50K,15258
18, Private,226956, HS-grad,9, Never-married,1, Other-service, Own-child, White, Female,0,0,30, ?, <=50K,31457
47, Private,51835, Prof-school,15, Married-civ-spouse,2, Prof-specialty, Wife, White, Female,0,1902,60, Honduras, >50K,184259
50, Federal-gov,251585, Bachelors,13, Divorced,3, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States, >50K,131245
47, Self-emp-inc,109832, HS-grad,9, Divorced,3, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States, <=50K,35724
43, Private,237993, Some-college,10, Married-civ-spouse,2, Tech-support, Husband, White, Male,0,0,40, United-States, >50K,70816
46, Private,216666, 5th-6th,3, Married-civ-spouse,2, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K,23303
35, Private,56352, Assoc-voc,11, Married-civ-spouse,2, Other-service, Husband, White, Male,0,0,40, Puerto-Rico, <=50K,25276
41, Private,147372, HS-grad,9, Married-civ-spouse,2, Adm-clerical, Husband, White, Male,0,0,48, United-States, <=50K,24182
30, Private,188146, HS-grad,9, Married-civ-spouse,2, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States, <=50K,21121
30, Private,59496, Bachelors,13, Married-civ-spouse,2, Sales, Husband, White, Male,2407,0,40, United-States, <=50K,40863
32, ?,293936, 7th-8th,4, Married-spouse-absent,4, ?, Not-in-family, White, Male,0,0,40, ?, <=50K,19701
48, Private,149640, HS-grad,9, Married-civ-spouse,2, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K,42383
42, Private,116632, Doctorate,16, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,45, United-States, >50K,228347
29, Private,105598, Some-college,10, Divorced,3, Tech-support, Not-in-family, White, Male,0,0,58, United-States, <=50K,40360
36, Private,155537, HS-grad,9, Married-civ-spouse,2, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,25001
28, Private,183175, Some-college,10, Divorced,3, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,22523
53, Private,169846, HS-grad,9, Married-civ-spouse,2, Adm-clerical, Wife, White, Female,0,0,40, United-States, >50K,170087
49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse,2, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K,288724
25, ?,200681, Some-college,10, Never-married,1, ?, Own-child, White, Male,0,0,40, United-States, <=50K,27114
19, Private,101509, Some-college,10, Never-married,1, Prof-specialty, Own-child, White, Male,0,0,32, United-States, <=50K,24423
31, Private,309974, Bachelors,13, Separated,5, Sales, Own-child, Black, Female,0,0,40, United-States, <=50K,20266
29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse,2, Sales, Husband, White, Male,0,0,70, United-States, >50K,96121
23, Private,211678, Some-college,10, Never-married,1, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States, <=50K,31248
79, Private,124744, Some-college,10, Married-civ-spouse,2, Prof-specialty, Other-relative, White, Male,0,0,20, United-States, <=50K,10567
27, Private,213921, HS-grad,9, Never-married,1, Other-service, Own-child, White, Male,0,0,40, Mexico, <=50K,32470
40, Private,32214, Assoc-acdm,12, Married-civ-spouse,2, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K,32650
67, ?,212759, 10th,6, Married-civ-spouse,2, ?, Husband, White, Male,0,0,2, United-States, <=50K,45757
18, Private,309634, 11th,7, Never-married,1, Other-service, Own-child, White, Female,0,0,22, United-States, <=50K,27196
31, Local-gov,125927, 7th-8th,4, Married-civ-spouse,2, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K,32808
18, Private,446839, HS-grad,9, Never-married,1, Sales, Not-in-family, White, Male,0,0,30, United-States, <=50K,27156
52, Private,276515, Bachelors,13, Married-civ-spouse,2, Other-service, Husband, White, Male,0,0,40, Cuba, <=50K,11666
46, Private,51618, HS-grad,9, Married-civ-spouse,2, Other-service, Wife, White, Female,0,0,40, United-States, <=50K,15042
59, Private,159937, HS-grad,9, Married-civ-spouse,2, Sales, Husband, White, Male,0,0,48, United-States, <=50K,14455
44, Private,343591, HS-grad,9, Divorced,3, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States, >50K,273006
53, Private,346253, HS-grad,9, Divorced,3, Sales, Own-child, White, Female,0,0,35, United-States, <=50K,39496
49, Local-gov,268234, HS-grad,9, Married-civ-spouse,2, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K,320735
33, Private,202051, Masters,14, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K,26671
30, Private,54334, 9th,5, Never-married,1, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K,49193
43, Federal-gov,410867, Doctorate,16, Never-married,1, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, >50K,67303
57, Private,249977, Assoc-voc,11, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K,34824
37, Private,286730, Some-college,10, Divorced,3, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K,19721
28, Private,212563, Some-college,10, Divorced,3, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States, <=50K,45080
30, Private,117747, HS-grad,9, Married-civ-spouse,2, Sales, Wife, Asian-Pac-Islander, Female,0,1573,35, ?, <=50K,22514
34, Local-gov,226296, Bachelors,13, Married-civ-spouse,2, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K,275543
29, Local-gov,115585, Some-college,10, Never-married,1, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States, <=50K,33529
48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,1902,60, United-States, >50K,318339
37, Private,202683, Some-college,10, Married-civ-spouse,2, Sales, Husband, White, Male,0,0,48, United-States, >50K,113553
48, Private,171095, Assoc-acdm,12, Divorced,3, Exec-managerial, Unmarried, White, Female,0,0,40, England, <=50K,11155
32, Federal-gov,249409, HS-grad,9, Never-married,1, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K,37519
76, Private,124191, Masters,14, Married-civ-spouse,2, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K,361189
44, Private,198282, Bachelors,13, Married-civ-spouse,2, Exec-managerial, Husband, White, Male,15024,0,60, United-States, >50K,243577
47, Self-emp-not-inc,149116, Masters,14, Never-married,1, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States, <=50K,16753
20, Private,188300, Some-college,10, Never-married,1, Tech-support, Own-child, White, Female,0,0,40, United-States, <=50K,34317
29, Private,103432, HS-grad,9, Never-married,1, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K,45034
32, Self-emp-inc,317660, HS-grad,9, Married-civ-spouse,2, Craft-repair, Husband, White, Male,7688,0,40, United-States, >50K,244499
17, ?,304873, 10th,6, Never-married,1, ?, Own-child, White, Female,34095,0,32, United-States, <=50K,26546
30, Private,194901, 11th,7, Never-married,1, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K,17212
31, Local-gov,189265, HS-grad,9, Never-married,1, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,31905
42, Private,124692, HS-grad,9, Married-civ-spouse,2, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K,31161
24, Private,432376, Bachelors,13, Never-married,1, Sales, Other-relative, White, Male,0,0,40, United-States, <=50K,35162
38, Private,65324, Prof-school,15, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K,104201
56, Self-emp-not-inc,335605, HS-grad,9, Married-civ-spouse,2, Other-service, Husband, White, Male,0,1887,50, Canada, >50K,201363
28, Private,377869, Some-college,10, Married-civ-spouse,2, Sales, Wife, White, Female,4064,0,25, United-States, <=50K,21712
36, Private,102864, HS-grad,9, Never-married,1, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K,49620
53, Private,95647, 9th,5, Married-civ-spouse,2, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K,16969
56, Self-emp-inc,303090, Some-college,10, Married-civ-spouse,2, Sales, Husband, White, Male,0,0,50, United-States, <=50K,30611
49, Local-gov,197371, Assoc-voc,11, Married-civ-spouse,2, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K,282505
55, Private,247552, Some-college,10, Married-civ-spouse,2, Sales, Husband, White, Male,0,0,56, United-States, <=50K,16205
22, Private,102632, HS-grad,9, Never-married,1, Craft-repair, Not-in-family, White, Male,0,0,41, United-States, <=50K,36058
21, Private,199915, Some-college,10, Never-married,1, Other-service, Own-child, White, Female,0,0,40, United-States, <=50K,30404
40, Private,118853, Bachelors,13, Married-civ-spouse,2, Exec-managerial, Husband, White, Male,0,0,60, United-States, <=50K,33119
30, Private,77143, Bachelors,13, Never-married,1, Exec-managerial, Own-child, Black, Male,0,0,40, Germany, <=50K,21637
29, State-gov,267989, Bachelors,13, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K,284776
19, Private,301606, Some-college,10, Never-married,1, Other-service, Own-child, Black, Male,0,0,35, United-States, <=50K,49585
47, Private,287828, Bachelors,13, Married-civ-spouse,2, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K,345070
20, Private,111697, Some-college,10, Never-married,1, Adm-clerical, Own-child, White, Female,0,1719,28, United-States, <=50K,39146
31, Private,114937, Assoc-acdm,12, Married-civ-spouse,2, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K,170867
35, ?,129305, HS-grad,9, Married-civ-spouse,2, ?, Husband, White, Male,0,0,40, United-States, <=50K,39245
39, Private,365739, Some-college,10, Divorced,3, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K,20948
28, Private,69621, Assoc-acdm,12, Never-married,1, Sales, Not-in-family, White, Female,0,0,60, United-States, <=50K,24828
24, Private,43323, HS-grad,9, Never-married,1, Other-service, Not-in-family, White, Female,0,1762,40, United-States, <=50K,10476
38, Self-emp-not-inc,120985, HS-grad,9, Married-civ-spouse,2, Craft-repair, Husband, White, Male,4386,0,35, United-States, <=50K,30094
37, Private,254202, Bachelors,13, Married-civ-spouse,2, Sales, Husband, White, Male,0,0,50, United-States, <=50K,49309
46, Private,146195, Assoc-acdm,12, Divorced,3, Tech-support, Not-in-family, Black, Female,0,0,36, United-States, <=50K,47282
38, Federal-gov,125933, Masters,14, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,40, Iran, >50K,396760
43, Self-emp-not-inc,56920, HS-grad,9, Married-civ-spouse,2, Craft-repair, Husband, White, Male,0,0,60, United-States, <=50K,12173
27, Private,163127, Assoc-voc,11, Married-civ-spouse,2, Adm-clerical, Wife, White, Female,0,0,35, United-States, <=50K,48465
20, Private,34310, Some-college,10, Never-married,1, Sales, Own-child, White, Male,0,0,20, United-States, <=50K,48182
49, Private,81973, Some-college,10, Married-civ-spouse,2, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K,145765
61, Self-emp-inc,66614, HS-grad,9, Married-civ-spouse,2, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,27486
27, Private,232782, Some-college,10, Never-married,1, Sales, Own-child, White, Female,0,0,40, United-States, <=50K,23624
19, Private,316868, Some-college,10, Never-married,1, Other-service, Own-child, White, Male,0,0,30, Mexico, <=50K,45757
45, Private,196584, Assoc-voc,11, Never-married,1, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States, >50K,114309
70, Private,105376, Some-college,10, Never-married,1, Tech-support, Other-relative, White, Male,0,0,40, United-States, <=50K,11743
31, Private,185814, HS-grad,9, Never-married,1, Transport-moving, Unmarried, Black, Female,0,0,30, United-States, <=50K,35926
22, Private,175374, Some-college,10, Married-civ-spouse,2, Other-service, Husband, White, Male,0,0,24, United-States, <=50K,39925
36, Private,108293, HS-grad,9, Widowed,7, Other-service, Unmarried, White, Female,0,0,24, United-States, <=50K,28827
64, Private,181232, 11th,7, Married-civ-spouse,2, Craft-repair, Husband, White, Male,0,2179,40, United-States, <=50K,38756
43, ?,174662, Some-college,10, Divorced,3, ?, Not-in-family, White, Female,0,0,40, United-States, <=50K,11628
47, Local-gov,186009, Some-college,10, Divorced,3, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico, <=50K,38191
34, Private,198183, HS-grad,9, Never-married,1, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,30107
33, Private,163003, Bachelors,13, Never-married,1, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K,13725
21, Private,296158, HS-grad,9, Never-married,1, Craft-repair, Own-child, White, Male,0,0,35, United-States, <=50K,33553
52, ?,252903, HS-grad,9, Divorced,3, ?, Not-in-family, White, Male,0,0,45, United-States, >50K,88355
48, Private,187715, HS-grad,9, Married-civ-spouse,2, Craft-repair, Husband, White, Male,0,0,46, United-States, <=50K,27616
23, Private,214542, Bachelors,13, Never-married,1, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K,11368
71, Self-emp-not-inc,494223, Some-college,10, Separated,5, Sales, Unmarried, Black, Male,0,1816,2, United-States, <=50K,43665
29, Private,191535, HS-grad,9, Divorced,3, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K,35377
42, Private,228456, Bachelors,13, Separated,5, Other-service, Other-relative, Black, Male,0,0,50, United-States, <=50K,41630
68, ?,38317, 1st-4th,2, Divorced,3, ?, Not-in-family, White, Female,0,0,20, United-States, <=50K,14072
25, Private,252752, HS-grad,9, Never-married,1, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K,38063
44, Self-emp-inc,78374, Masters,14, Divorced,3, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K,32425
28, Private,88419, HS-grad,9, Never-married,1, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England, <=50K,25073
45, Self-emp-not-inc,201080, Masters,14, Married-civ-spouse,2, Sales, Husband, White, Male,0,0,40, United-States, >50K,196870
36, Private,207157, Some-college,10, Divorced,3, Other-service, Unmarried, White, Female,0,0,40, Mexico, <=50K,18063
39, Federal-gov,235485, Assoc-acdm,12, Never-married,1, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States, <=50K,45608
46, State-gov,102628, Masters,14, Widowed,7, Protective-serv, Unmarried, White, Male,0,0,40, United-States, <=50K,18495
18, Private,25828, 11th,7, Never-married,1, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States, <=50K,23058
66, Local-gov,54826, Assoc-voc,11, Widowed,7, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K,17341
27, Private,124953, HS-grad,9, Never-married,1, Other-service, Not-in-family, White, Male,0,1980,40, United-States, <=50K,28449
28, State-gov,175325, HS-grad,9, Married-civ-spouse,2, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K,38460
51, Private,96062, Some-college,10, Married-civ-spouse,2, Sales, Husband, White, Male,0,1977,40, United-States, >50K,128127
27, Private,428030, Bachelors,13, Never-married,1, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K,13196
28, State-gov,149624, Bachelors,13, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K,196499
27, Private,253814, HS-grad,9, Married-spouse-absent,4, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K,27736
21, Private,312956, HS-grad,9, Never-married,1, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K,37789
34, Private,483777, HS-grad,9, Never-married,1, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K,32215
18, Private,183930, HS-grad,9, Never-married,1, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K,18983
33, Private,37274, Bachelors,13, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,65, United-States, <=50K,37054
44, Local-gov,181344, Some-college,10, Married-civ-spouse,2, Exec-managerial, Husband, Black, Male,0,0,38, United-States, >50K,278068
43, Private,114580, Some-college,10, Divorced,3, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,12110
30, Private,633742, Some-college,10, Never-married,1, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States, <=50K,40853
40, Private,286370, 7th-8th,4, Married-civ-spouse,2, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, >50K,312854
37, Federal-gov,29054, Some-college,10, Married-civ-spouse,2, Adm-clerical, Husband, White, Male,0,0,42, United-States, >50K,75930
34, Private,304030, HS-grad,9, Married-civ-spouse,2, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K,32645
41, Self-emp-not-inc,143129, Bachelors,13, Divorced,3, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K,18878
53, ?,135105, Bachelors,13, Divorced,3, ?, Not-in-family, White, Female,0,0,50, United-States, <=50K,27456
31, Private,99928, Masters,14, Married-civ-spouse,2, Prof-specialty, Wife, White, Female,0,0,50, United-States, <=50K,36123
58, State-gov,109567, Doctorate,16, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,1, United-States, >50K,300539
38, Private,155222, Some-college,10, Divorced,3, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States, <=50K,21939
24, Private,159567, Some-college,10, Married-civ-spouse,2, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K,44341
41, Local-gov,523910, Bachelors,13, Married-civ-spouse,2, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K,35923
47, Private,120939, Some-college,10, Married-civ-spouse,2, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K,33706
41, Federal-gov,130760, Bachelors,13, Married-civ-spouse,2, Tech-support, Husband, White, Male,0,0,24, United-States, <=50K,15300
23, Private,197387, 5th-6th,3, Married-civ-spouse,2, Transport-moving, Other-relative, White, Male,0,0,40, Mexico, <=50K,19455
36, Private,99374, Some-college,10, Divorced,3, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K,45139
40, Federal-gov,56795, Masters,14, Never-married,1, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States, >50K,294850
35, Private,138992, Masters,14, Married-civ-spouse,2, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States, >50K,270349
24, Self-emp-not-inc,32921, HS-grad,9, Never-married,1, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K,47951
26, Private,397317, Masters,14, Never-married,1, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States, <=50K,39662
19, ?,170653, HS-grad,9, Never-married,1, ?, Own-child, White, Male,0,0,40, Italy, <=50K,47498
51, Private,259323, Bachelors,13, Married-civ-spouse,2, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K,315223
42, Local-gov,254817, Some-college,10, Never-married,1, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States, <=50K,31866
37, State-gov,48211, HS-grad,9, Divorced,3, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K,14725
18, Private,140164, 11th,7, Never-married,1, Sales, Own-child, White, Female,0,0,40, United-States, <=50K,36199
36, Private,128757, Bachelors,13, Married-civ-spouse,2, Other-service, Husband, Black, Male,7298,0,36, United-States, >50K,271617
35, Private,36270, HS-grad,9, Divorced,3, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K,44954
58, Self-emp-inc,210563, HS-grad,9, Married-civ-spouse,2, Sales, Wife, White, Female,15024,0,35, United-States, >50K,279622
17, Private,65368, 11th,7, Never-married,1, Sales, Own-child, White, Female,0,0,12, United-States, <=50K,49593
44, Local-gov,160943, HS-grad,9, Married-civ-spouse,2, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K,38161
37, Private,208358, HS-grad,9, Married-civ-spouse,2, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K,217593
35, Private,153790, Some-college,10, Never-married,1, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K,44371
60, Private,85815, HS-grad,9, Married-civ-spouse,2, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K,32665
54, Self-emp-inc,125417, 7th-8th,4, Married-civ-spouse,2, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K,280115
37, Private,635913, Bachelors,13, Never-married,1, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States, >50K,85016
50, Private,313321, Assoc-acdm,12, Divorced,3, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K,39477
38, Private,182609, Bachelors,13, Married-civ-spouse,2, Sales, Husband, White, Male,0,0,50, Poland, <=50K,40193
45, Private,109434, Bachelors,13, Married-civ-spouse,2, Prof-specialty, Husband, White, Male,0,0,55, United-States, <=50K,15809
25, Private,255004, 10th,6, Never-married,1, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K,28492
31, Private,197860, Some-college,10, Married-civ-spouse,2, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K,21871
64, ?,187656, 1st-4th,2, Divorced,3, ?, Not-in-family, White, Male,0,0,40, United-States, <=50K,24539
90, Private,51744, HS-grad,9, Never-married,1, Other-service, Not-in-family, Black, Male,0,2206,40, United-States, <=50K,17954
